,GSM352329.CEL,GSM352330.CEL,GSM352331.CEL
200777_s_at,2766.75078751845,3301.34464820972,2960.05480552078
200778_s_at,4729.9243813083,3994.73488706702,3986.67778039719
200779_at,7847.3679122582,8178.54991602404,6882.48027173561
200780_x_at,8663.10081371826,7668.70257358277,6764.77022049097
200781_s_at,14007.4461912556,11169.1565235798,10019.5447444394
200782_at,12377.9522231589,8810.91139640092,7870.1112082478
200783_s_at,235.061988031994,461.755661710325,345.60447404199
200784_s_at,518.519993304194,244.001696543786,330.441661467814
200785_s_at,815.261386428575,560.805295777748,784.91789725123
200786_at,3793.64499280508,4186.50205677951,3845.04909767711
200787_s_at,4071.88439686964,2506.01288883042,2736.71783838744
200788_s_at,6878.10422763056,6565.26224685515,5722.04071152444
200789_at,631.424956307084,600.748080276123,668.474938775501
200790_at,5355.24446126287,6108.50305644077,4760.89365062468
200791_s_at,2934.52125948739,3438.34503357961,3409.16336220723
200792_at,3993.81604621457,4311.56791062799,4046.24352422327
200793_s_at,1266.01464506876,1063.35195956775,1137.52415942089
200794_x_at,4674.89143532346,4947.1431824529,3903.89088310785
200795_at,16.7460449164098,20.4041317616917,2.091472385252
200796_s_at,1213.17749025729,422.868098696728,320.083039896953
200797_s_at,7321.95322694833,6497.41638168743,5734.7874516669
200798_x_at,3285.73685506581,2572.65912240137,2217.24539348474
200799_at,1630.99640522726,1573.40987095574,2436.41494288089
200800_s_at,743.159570359622,585.457690855897,1187.50662863191
200801_x_at,27070.9600857069,17997.6688421379,15813.0084024245
200802_at,2600.71605582558,2388.47824742041,2290.97749314022
200803_s_at,5637.05947935037,4746.43714031771,4244.36784701531
200804_at,6240.57138895337,6530.54203266843,5768.0053244564
200805_at,1002.9344821391,853.424207468054,1023.96052323991
200806_s_at,4819.19581332146,4015.23797912941,3765.13788255961
200807_s_at,9463.03363764885,8993.34670187002,7786.63251219655
